image_path,snippet,highlight,similarity_score
C:\DataSet Creation\images_final\img_32.jpg,,New Delhi: The General Body meeting of the All India Muslim Majlis-e-Mushawarat (AIMMM) has warned that the growing politics of hate in the country will destroy it if not curbed soon.,0.0
C:\DataSet Creation\images_final\img_33.jpg,,"Andhra Pradesh Chief Minister N Chandrababu Naidu and his son, Minister Lokesh, expressed strong disapproval of the Congress's protest at the AI Impact Summit in Delhi. The protest took place at Bharat Mandapam, the venue for the summit.",0.0
C:\DataSet Creation\images_final\img_34.jpg,,"In India’s urban landscapes of decay – where the state has normalised 1000 AQI pollution for over 20 years, fails to manage toxin-leaching waste mountains, and aggressively gulps down public land – what bearing can art and culture have on a city’s defining criteria?",0.0
C:\DataSet Creation\images_final\img_35.jpg,,"Nitin Nabin, the BJP president, has openly criticized the Congress party, accusing it of having no intentions, principles, or strong leadership. He labeled the party as 'Italian Congress', devoid of Indian elements, and suggested that Rahul Gandhi is merely a 'part-time politician'.",0.0
C:\DataSet Creation\images_final\img_36.jpg,,"To activate the text-to-speech service, please first agree to the privacy policy below.",0.0
C:\DataSet Creation\images_final\img_37.jpg,,"Do you believe what they are saying about Pakistan and natural resources? Jake Sullivan, who was President Joe Biden’s national-security adviser, recently said, “Because of Pakistan’s willingness to do business deals with the Trump family, Trump has thrown the India relationship over the side.” It’s true that Pakistan has got much more involved with cryptocurrency, though we don’t have evidence of direct Trump business deals. I also don’t want to fall into the trap of overanalyzing Trump’s actions or strategy.",0.0
C:\DataSet Creation\images_final\img_38.jpg,,"Former Prime Minister Atal Bihari Vajpayee was celebrated as a uniquely inclusive leader capable of uniting India, according to BJP stalwart Murli Manohar Joshi. Speaking during the launch of a coffee table book on Vajpayee's life, Joshi praised Vajpayee for following 'Raj Dharma' and 'Sangathan Dharma'.",0.0
C:\DataSet Creation\images_final\img_39.jpg,,"The Bharatiya Janata Yuva Morcha (BJYM) staged a protest at the Rajasthan Pradesh Congress Committee headquarters on Saturday, in response to a shirtless demonstration by Indian Youth Congress (IYC) workers during an AI summit in New Delhi. The protest, led by BJYM state president Shankar Gora, saw workers marching towards the PCC office while raising slogans.",0.0
C:\DataSet Creation\images_final\img_40.jpg,,"Since the restoration of democracy in 1990, Nepal has cycled through twenty-seven prime ministers, each averaging barely a year in office. None of them was a woman. This changed on September 12, when former chief justice Sushila Karki was sworn in as the country’s first woman prime minister.",0.0
C:\DataSet Creation\images_final\img_41.jpg,,"The two leaders have maintained an open line of communication, with Lula calling Modi last month to discuss the Venezuelan situation after the capture of former president Nicolas Maduro by the US",0.0
C:\DataSet Creation\images_final\img_42.jpg,,"ADVERTISEMENT In a post on X, Ramesh cited remarks made by US President Donald Trump following a US",0.0
C:\DataSet Creation\images_final\img_43.jpg,,"The Congress leader says his party lost at least 48 seats in the elections due to such irregularities and has accused India's election body of failing to enforce the ""one man, one vote"" principle. The Congress won 99 of the 543 seats in the elections, behind BJP's 240.",0.0
C:\DataSet Creation\images_final\img_44.jpg,,"""The fact that this is happening against the backdrop of heavy and high-level US engagement with Islamabad immediately after an India-Pakistan conflict is even more galling for Delhi and the wider Indian public. This all sharpens concerns harboured by some in India that the US can't truly be trusted as a partner,"" says Washington-based South Asia analyst Michael Kugelman.",0.0
C:\DataSet Creation\images_final\img_45.jpg,,"Gen Z protests have shaken Sri Lanka, Bangladesh and Nepal in recent years — but not India. Why? In a Delhi coffee-house chat with DW, young Indians debate power, politics and the future.",0.0
C:\DataSet Creation\images_final\img_46.jpg,,"The Mindset Behind BJP, Modi and Government making India towards Viksit Bahart",0.0
C:\DataSet Creation\images_final\img_47.jpg,,"The US Supreme Court's decision to strike down the global tariffs imposed by former President Donald Trump has sparked significant political backlash within India. Rahul Gandhi, Leader of Opposition in the Lok Sabha, intensified his critique of Prime Minister Narendra Modi regarding the India-US interim trade deal.",0.0
C:\DataSet Creation\images_final\img_48.jpg,,"Three days of mourning have been declared in the Indian state of Maharashtra after the death of the state’s deputy chief minister Ajit Pawar, who was killed when his plane went down in flames on Wednesday.",0.0
C:\DataSet Creation\images_final\img_49.jpg,,"Indian Prime Minister Narendra Modi has led the country for more than a decade, shaping its politics, economy and global posture. As he enters what is likely his final term, with no guarantee of returning to office after 2029, growing tensions at home and abroad demand a closer examination of his record. His leadership has prioritized national security, economic expansion and cultural identity, but it has also raised concerns about democratic decline, institutional decay and foreign policy failures.",0.0
C:\DataSet Creation\images_final\img_50.jpg,,"Assam BJP president Dilip Saikia criticized the recent 'shirtless protest' by the Youth Congress at the AI Impact Summit in Delhi, labeling it as a global embarrassment for India.",0.0
C:\DataSet Creation\images_final\img_51.jpg,,Senior Congress leader Randeep Surjewala on Friday sharpened his attack on the Centre after the Supreme Court of the United States struck down President Donald Trump’s use of emergency powers to impose sweeping global tariffs.,0.0
C:\DataSet Creation\images_final\img_52.jpg,,"He alleged that forces “tacitly and overtly supported by the ruling dispensation” had unleashed “a reign of terror against minorities and marginalised groups.” “The Congress party strongly condemns violence in all its forms and will continue to fight hate,” Gandhi said.",0.0
C:\DataSet Creation\images_final\img_53.jpg,,"Now that India and Pakistan have agreed to a ceasefire after days of missile and drone strikes, there are certain players in the two countries that can use the crisis to bolster their domestic support.",0.0
C:\DataSet Creation\images_final\img_54.jpg,,"Following a landmark ruling by the US Supreme Court against the global tariffs instituted by former President Donald Trump, Indian opposition leader Rahul Gandhi has intensified his criticism of Prime Minister Narendra Modi. Gandhi has openly accused Modi of being compromised and alleged that the Prime Minister's betrayal is now undeniable.",0.0
C:\DataSet Creation\images_final\img_55.jpg,,"Telangana BJP president N. Ramchander Rao was taken into custody by police in Hyderabad on Sunday when he attempted to leave for Banswada town in Kamareddy district, where a communal clash broke out on Friday evening.",0.0
C:\DataSet Creation\images_final\img_56.jpg,,"Sikkim Chief Minister Prem Singh Tamang has voiced strong disapproval of protests by Youth Congress members at the AI Impact Summit in Delhi, warning that such activities could harm India's global standing during a time of significant international attention.",0.0
C:\DataSet Creation\images_final\img_57.jpg,,"First, there was the grandest rivalry of all on the pitch. Then there were the geopolitical tensions involving India, Pakistan and Bangladesh, which led to Bangladesh’s absence from the tournament and Pakistan’s threats to boycott the match with India.",0.0
C:\DataSet Creation\images_final\img_58.jpg,,"Laborers work at a coastal road project construction site in Mumbai on January 12, 2022. Punit Paranjpe | Afp | Getty Images",0.0
C:\DataSet Creation\images_final\img_59.jpg,,"The achievement unleashed a wave of national pride in New Delhi and among business leaders, but behind the celebrations lingers a question: can the world’s fastest-growing economy turn rapid growth into widespread prosperity?",0.0
C:\DataSet Creation\images_final\img_60.jpg,,Save 50% on Standard Digital was Rs28750 now Rs13999 for your first year,0.0
C:\DataSet Creation\images_final\img_61.jpg,,"Indian Prime Minister Narendra Modi’s government has unveiled its annual budget, aiming for steady growth in an uncertain global economy rocked by recent tariff wars.",0.0
C:\DataSet Creation\images_final\img_62.jpg,,"Amid rising global trade uncertainties, India's economy is projected to grow 7.4% in the fiscal year ending March 2026, higher than 6.5% in the last fiscal year, according to first advance estimates released by the Indian government on Wednesday.",0.0
C:\DataSet Creation\images_final\img_63.jpg,,"Following a resilient year of economic growth in 2025, Goldman Sachs Research forecasts India’s real GDP to stay robust in the coming calendar years. Our economists expect 6.9% year-on-year growth in 2026 and 6.8% in 2027 (real inflation adjusted)—both above consensus estimates.",0.0
C:\DataSet Creation\images_final\img_64.jpg,,"India and Brazil are both trillion-dollar economies and members of the oft-cited BRICS countries along with Russia, South Africa, and China. While both are among the most-watched emerging markets, the economic fortunes of Brazil and India appear to be on divergent paths. India will continue to gain ground on Brazil unless the South American country confronts difficult political and economic challenges.",0.0
C:\DataSet Creation\images_final\img_65.jpg,,"Artificial intelligence is poised to severely disrupt India's job market — as it will the rest of the world. But the scale of job losses remains uncertain, as does India's ability to build a thriving AI ecosystem that could generate new opportunities to offset them.",0.0
C:\DataSet Creation\images_final\img_66.jpg,,"India celebrates 80 years of independence from the UK in August 2027. At about that same moment, “early versions of true super intelligence” could emerge, Sam Altman, the co-founder of OpenAI, said this week.",0.0
C:\DataSet Creation\images_final\img_67.jpg,,"Pakistan’s economy has been in a state of crisis for many years; meanwhile, India – a frequent point of comparison in Pakistani discourse – has managed a far stronger economic performance in the same period. After the COVID-19 pandemic, the two economies moved in very different directions.",0.0
C:\DataSet Creation\images_final\img_68.jpg,,"In 2004, The Economist predicted that India’s economic growth rate would overtake China’s in two decades. In 2010, in an article called “India’s surprising growth miracle”, they shortened that timeline dramatically, declaring that India might overtake China in terms of GDP growth as early as “2013, if not before”.",0.0
C:\DataSet Creation\images_final\img_69.jpg,,"India has pushed ahead of Japan as the world's fourth-biggest economy after sustained high growth, New Delhi says. Economic pace has apparently picked up more quickly than expected and India may soon claim third place.",0.0
C:\DataSet Creation\images_final\img_70.jpg,,You mentioned digital transformation. How is India’s unique approach to its digital infrastructure reshaping the country and the banking sector?,0.0
C:\DataSet Creation\images_final\img_71.jpg,,"India is closely examining the implications of a major ruling by the Supreme Court of the United States that struck down President Donald Trump’s reciprocal tariffs.In a 6–3 decision, the Supreme Court of the United States ruled that Trump exceeded his authority by invoking the International Emergency Economic Powers Act (IEEPA) to impose sweeping import duties.Within hours, Trump announced a new 10% global tariff under Section 122 of the Trade Act of 1974, effective February 24.India’s Commerce Ministry said it is studying the developments carefully. The ruling comes after a volatile phase in India–US trade ties, including a 50% tariff on Indian goods that was later reduced under an interim trade agreement.",0.0
C:\DataSet Creation\images_final\img_72.jpg,,Save 50% on Standard Digital was Rs28750 now Rs13999 for your first year,0.0
C:\DataSet Creation\images_final\img_73.jpg,,"India has delayed plans to send a trade delegation to Washington this week, chiefly because of uncertainty after the U.S. Supreme Court struck down tariffs imposed by President Donald Trump, a source in its trade ministry said on Sunday.",0.0
C:\DataSet Creation\images_final\img_74.jpg,,"At the India-Brazil Economic Forum, Luiz Inácio Lula da Silva highlighted the growing strength of India-Brazil ties, expressing confidence in a shared future of economic progress. He noted that both nations have similar aspirations of moving beyond developing status to become major global economies. Lula stressed that governments must create opportunities for businesses to collaborate, invest, and expand across borders. Showcasing strong intent, he arrived with one of his largest-ever delegations, including ministers and industry leaders. The visit signals a deeper push for trade, innovation, and strategic cooperation, positioning India and Brazil as key partners in shaping the future of emerging economies worldwide.",0.0
C:\DataSet Creation\images_final\img_75.jpg,,"In Western media, academia, NGOs, and popular culture, few topics generate as much fascination as the poverty of the developing world—particularly India. This phenomenon, often derided as “poverty porn,” involves the sensationalised, decontextualised depiction of extreme deprivation: sprawling slums, malnourished children, open defecation, and desperate street scenes. Films like Slumdog Millionaire, photo essays by Western photographers, celebrity “slum tours,” and endless documentaries frame India (and similar nations) as a perpetual basket case of suffering.",0.0
C:\DataSet Creation\images_final\img_76.jpg,,"India has overtaken Japan as the world’s fourth-largest economy – and officials hope to pass Germany within three years, the government’s end-of-year economic review calculates.",0.0
C:\DataSet Creation\images_final\img_77.jpg,,"Last year's income tax cuts and the rationalisation of the goods and services tax (GST) - a levy on consumption - have also lifted consumer demand and stimulated spending. India's central bank, Reserve Bank of India (RBI), has described this combination of high growth and low inflation as a ""Goldilocks"" phase - a term coined by US economist David Shulman to describe an economy expanding at just the right pace, with good jobs growth.",0.0
C:\DataSet Creation\images_final\img_78.jpg,,Save 50% on Standard Digital was Rs28750 now Rs13999 for your first year,0.0
C:\DataSet Creation\images_final\img_79.jpg,,"In a year defined by global economic turbulence, geopolitical tensions, and trade disruptions, India in 2025 has charted a course of remarkable resilience through a series of transformative reforms. With projections from the International Monetary Fund (IMF) estimating a robust 6.6% growth for the fiscal year 2025–26, following a 7.8% expansion in the first quarter, India is leveraging structural changes to cushion itself against external headwinds like high tariffs from the Trump administration. These reforms, which include a Goods and Services Tax (GST 2.0), income tax revisions, rate cuts by the Reserve Bank of India (RBI), and the landmark introduction of four labour codes, represent a pivot towards domestic demand and economic formalisation. Beyond their immediate benefits, these policies are poised to reshape India’s role as a global economic power and alter its relationships with trade partners and investors worldwide.",0.0
C:\DataSet Creation\images_final\img_80.jpg,,"AS WE WALK PAST the glass corridors of IBM’s new office in Lower Parel, Sandip Patel points to a large town-hall styled meeting in progress in a large conference room. Channel partners, largely systems integrators and consolidators who form IBM’s extended sales network, are sitting in rapt attention. It’s an annual ritual, but one that Patel, the managing director of IBM India & South Asia, has amplified significantly during his tenure. “Every year we do one major event, but we also pull them in when we launch new products. It’s like a refresher course,” Patel tells Fortune India.",0.0
C:\DataSet Creation\images_final\img_81.jpg,,"For decades, tech companies have relied immensely on India’s vast workforce, from entry-level call center jobs to software engineers and high-ranking managerial positions.",0.0
C:\DataSet Creation\images_final\img_82.jpg,,"Pralhad Joshi, Union Minister for Consumer Affairs, Food and Public Distribution, and New and Renewable Energy, expressed confidence that India’s rapid progress across sectors will propel it to become the world’s third-largest economy in the near future.",0.0
C:\DataSet Creation\images_final\img_83.jpg,,"Currently, you are using a shared account. To use individual functions (e.g., mark statistics as favourites, set statistic alerts) please log in with your personal account. If you are an admin, please authenticate by logging in again.",0.0
C:\DataSet Creation\images_final\img_84.jpg,,"By A Staff Reporter,Kathmandu, Feb. 22: President of the Federation of Nepal Chambers of Commerce and Industry (FNCCI), Chandra Prasad Dhakal, has stressed the need to make Nepal-India economic cooperation more result-oriented.",0.0
C:\DataSet Creation\images_final\img_85.jpg,,"India and the US have decided to reschedule the proposed meeting of their chief negotiators, supposed to be held in Washington from Monday, to finalise the text for the interim trade pact, sources said on Sunday.",0.0
C:\DataSet Creation\images_final\img_86.jpg,,India’s IDFC First Bank said it was investigating a suspected fraud of $65 million by some employees involving accounts of local government entities and that the bank had alerted the police.,0.0
C:\DataSet Creation\images_final\img_87.jpg,,"In a quarter partially affected by the 50% U.S. tariffs, the Indian economy grew faster than expected at an annual rate of 8.2% in the quarter ending in September.",0.0
C:\DataSet Creation\images_final\img_88.jpg,,"As inflation softens, this should support urban consumption, which has yet to show signs of a decisive lift. While consumption in rural areas continues to exhibit robust growth, urban consumption is comparatively subdued. The income tax cuts announced in the budget, effective this fiscal year, should bolster this. The proposed goods and services tax rationalization could help bring down inflation and support private consumption. A sharp drop in food inflation would also improve the discretionary spending of lower-income groups in urban and rural areas.",0.0
C:\DataSet Creation\images_final\img_89.jpg,,India’s economy grew at a faster-than-expected pace in the third quarter despite global economic turbulence.,0.0
C:\DataSet Creation\images_final\img_90.jpg,,"India's economy grew at a faster than-expected annual rate of 7.8% in the quarter to the end of June, boosted by the manufacturing, construction and service sectors.",0.0
C:\DataSet Creation\images_final\img_91.jpg,,"India's crude import strategy is entering a phase of calibrated rebalancing rather than abrupt realignment, with Middle Eastern suppliers led by Saudi Arabia regaining market share even as Russian volumes remain significant but increasingly shaped by geopolitics and compliance constraints, according to shipping data and analysts.",0.0
C:\DataSet Creation\images_final\img_92.jpg,,"Founder, CEO and Editor-in-Chief Atul Singh interviews Professor Viral Acharya, the former Deputy Governor of the Reserve Bank of India (RBI), about why India’s economic growth has slowed recently.",0.0
C:\DataSet Creation\images_final\img_93.jpg,,"India now faces a US tariff burden of 50 percent – higher even than China. Yet so far, the worst-case prognostications of an up to one percent hit to Indian GDP have not come to pass.",0.0
C:\DataSet Creation\images_final\img_94.jpg,,"Mumbai: Investors will closely watch global developments such as tariff-related moves in the United States, along with key domestic data like GDP numbers and the monthly F&O expiry, which are likely to guide market direction in the coming week.",0.0
C:\DataSet Creation\images_final\img_95.jpg,,"India's crude import strategy is entering a phase of calibrated rebalancing rather than abrupt realignment, with Middle Eastern suppliers led by Saudi Arabia regaining market share even as Russian volumes remain significant but increasingly shaped by geopolitics and compliance constraints, according to shipping data and analysts.",0.0
C:\DataSet Creation\images_final\img_96.jpg,,"In its latest report, rating agency ICRA forecasts that India's year-on-year GDP growth will moderate to 7.2% in the third quarter of FY2025-26, a decline from the 8.2% recorded in the previous quarter. Despite improvements in the industrial sector, slower expansions in services and agriculture are predicted to weigh down economic performance.",0.0
C:\DataSet Creation\images_final\img_97.jpg,,"Hubballi: Former Chief Minister and MP Basavaraj Bommai and sitting MP on Saturday said India’s progress is closely linked to the prosperity of Hindus and stressed the need to strengthen the Hindu economic base, particularly in Tier-2 and Tier-3 cities.",0.0
C:\DataSet Creation\images_final\img_98.jpg,,"The adverse US Supreme Court ruling on Friday (February 20), that President Donald Trump overstepped his powers granted under the International Emergency Economic Powers Act (IEEPA) to impose sweeping reciprocal tariffs has multiple implications for the trade deals inked by the US — including the interim trade agreement with India.",0.0
C:\DataSet Creation\images_final\img_99.jpg,,"Each year, smog descends on northern India. Schools close, work on construction sites halts and people change their routines in ways that undermine economic growth. India’s air pollution problem is often framed as a side effect of rapid development. Here Shefali Khanna presents the emerging body of economic evidence which suggests instead that polluted air is itself a significant obstacle to growth.",0.0
C:\DataSet Creation\images_final\img_100.jpg,,The Sports Tourism Revitalization of Gulmarg’s Economy Through the Khelo India Winter Games,0.0
C:\DataSet Creation\images_final\img_101.jpg,,"Patrick Mahomes is focused on recovering from knee surgery and preparing for the 2026 season, while supporting wife Brittany Mahomes as she earns major recognition off the field. She will receive United WE’s inaugural Champion for Change Award for her leadership and investment in women’s sports and is also set for UT Tyler Athletics Hall of Fame induction.",0.0
C:\DataSet Creation\images_final\img_102.jpg,,India's only previous bilateral series win in Australia came in 2016 [Getty Images],0.0
C:\DataSet Creation\images_final\img_103.jpg,,Ladakh’s Ice Hockey Phenomenon: India’s Hidden Gem Transforms Into The World’s Hottest Winter Sports Hub!,0.0
C:\DataSet Creation\images_final\img_104.jpg,,Australian top seed Talia Gibson and India’s Sahaja Yamalapalli sprinted off the court in the middle of their second-round match at the W100 Bengaluru Open on Thursday after a swarm of bees invaded the stadium.,0.0
C:\DataSet Creation\images_final\img_105.jpg,,"In the frozen landscapes of Leh and the powder-white slopes of Gulmarg, the Indian Army has emerged as an indomitable force in the Khelo India Winter Games. Their quiet yet disciplined dominance has become a defining characteristic of the modern era of these games.",0.0
C:\DataSet Creation\images_final\img_106.jpg,,"India's star opener Smriti Mandhana followed up her match-winning heroics in Adelaide with a cryptic Instagram post that quickly grabbed attention. A day after steering India to a T20I series win over Australia, she reminded everyone that “sport doesn’t care about your feelings.”",0.0
C:\DataSet Creation\images_final\img_107.jpg,,"India and South Africa will face each other in Match 43 of the ICC Men’s T20 World Cup Super Eights at the Narendra Modi Stadium on Sunday, February 22.",0.0
C:\DataSet Creation\images_final\img_108.jpg,,"Captain Suryakumar Yadav, right, head coach Gautam Gambhir, second left, with the team. (PTI Photo)",0.0
C:\DataSet Creation\images_final\img_109.jpg,,The Indian men's hockey team displayed a marked improvement in their performance but succumbed to Australia in a nerve-wracking penalty shootout at their FIH Pro League encounter in Hobart.,0.0
C:\DataSet Creation\images_final\img_110.jpg,,"Not just his batsmanship, even the primal human instinct to dodge sudden danger failed Saim Ayub. If cricket, like gymnastics, had judges, they would be flashing 10s at Jasprit Bumrah’s perfect yorker to Saim. That dismissal from the India-Pakistan game in Colombo would soon become the most-watched, most-memed and most-layered clip of the World T20 so far.",0.0
C:\DataSet Creation\images_final\img_111.jpg,,The T20 World Cup Super 8s began in frustrating fashion with Pakistan's game against New Zealand in Colombo washed out without a ball bowled.,0.0
C:\DataSet Creation\images_final\img_112.jpg,,"Bangladesh cricket lost their place at T20 World Cup after refusal to play in India, but shooting team heads to New Delhi.",0.0
C:\DataSet Creation\images_final\img_113.jpg,,"The renowned ski-resort town of Gulmarg in Jammu and Kashmir is abuzz with excitement as it gears up to host the sixth Khelo India Winter Games. Officials confirmed that more than 400 athletes will compete in the four-day event, starting Monday, marking yet another prestigious installment in this winter sports saga.",0.0
